s0,d(s0),Set,f(vij)obs,f(vij=1/q0)ref,?D1(sI),?D2(sII),?D3(sIII),?D4(sIV),?D5(sI),?D6(sII),?D7(sIII)
Fluorescence Intensity-ND,1,t,1,0.35,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Zeta Potential (mV)-ND,-1,v,0,0.13,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Zeta Potential (mV)-ND,-1,t,0,0.16,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Fluorescence-ND ,1,t,1,0.16,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Fluorescence-ND ,1,t,1,0.13,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Zeta Potential (mV)-ND,-1,v,0,0.13,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Zeta Potential (mV)-ND,-1,t,0,0.16,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
IC50 (µg/mL),-1,t,0,0.26,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Fluorescence Intensity-ND,1,t,1,0.35,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Zeta Potential (mV)-ND,-1,v,0,0.13,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Zeta Potential (mV)-ND,-1,t,0,0.16,5.4500,-14.13,0.20,-0.13,0.0000,-0.34,-25.80
Fluorescence-ND ,1,t,0,0.16,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Fluorescence-ND ,1,t,1,0.13,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Zeta Potential (mV)-ND,-1,v,0,0.24,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
IC50 (µg/mL),-1,t,1,0.26,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Fluorescence Intensity-ND,1,t,1,0.35,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Fluorescence Intensity-ND,1,t,0,0.35,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Zeta Potential (mV)-ND,-1,v,1,0.24,8.7548,-14.13,0.00,0.17,1869.7784,-1.39,0.00
Fluorescence-ND ,1,t,1,0.16,-37.6452,-140.48,0.00,0.00,-254.5699,1.36,0.00
Fluorescence-ND ,1,t,1,0.13,-37.6452,-140.48,0.00,0.00,-254.5699,1.36,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-37.6452,-140.48,0.00,0.00,-254.5699,1.36,0.00
Fluorescence-ND ,1,v,1,0.16,-37.6452,-140.48,0.00,0.00,-254.5699,1.36,0.00
Fluorescence-ND ,1,t,1,0.13,-37.6452,-140.48,0.00,0.00,-254.5699,1.36,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-14.6244,-26.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,1,0.16,-14.6244,-26.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,v,1,0.13,-14.6244,-26.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence Intensity-ND,1,t,1,0.35,20.3756,8.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,50.3756,38.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,-9.6244,-50.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,v,0,0.16,-36.6452,-140.48,4.33,0.88,-353.8457,4.14,-9.15
Fluorescence-ND ,1,t,1,0.13,-36.6452,-140.48,4.33,0.88,-353.8457,4.14,-9.15
Fluorescence Intensity-ND,1,t,1,0.35,-36.6452,-140.48,4.33,0.88,-353.8457,4.14,-9.15
Fluorescence Intensity-ND,1,t,1,0.35,-36.6452,-140.48,4.33,0.88,-353.8457,4.14,-9.15
Fluorescence-ND ,1,v,0,0.16,0.0000,-86.73,0.00,0.38,-88.3075,0.31,0.00
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,0.00,0.38,-88.3075,0.31,0.00
IC50 (µg/mL),-1,t,1,0.26,0.0000,-86.73,0.00,0.38,-88.3075,0.31,0.00
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,0.38,-88.3075,0.31,0.00
Fluorescence Intensity-ND,1,v,1,0.35,0.0000,-86.73,0.00,0.38,-88.3075,0.31,0.00
Fluorescence-ND ,1,t,0,0.16,0.0000,-86.73,0.00,-0.21,-11.0737,0.46,4.93
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,0.00,-0.21,-11.0737,0.46,4.93
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,-0.21,-11.0737,0.46,4.93
